File,Function,Docstring
asv_bench/benchmarks/gil.py,"def test_parallel(num_threads=2, kwargs_list=None):
    assert num_threads > 0
    has_kwargs_list = kwargs_list is not None
    if has_kwargs_list:
        assert len(kwargs_list) == num_threads

    def wrapper(func):

        @wraps(func)
        def inner(*args, **kwargs):
            if has_kwargs_list:
                update_kwargs = lambda i: dict(kwargs, **kwargs_list[i])
            else:
                update_kwargs = lambda i: kwargs
            threads = []
            for i in range(num_threads):
                updated_kwargs = update_kwargs(i)
                thread = threading.Thread(target=func, args=args, kwargs=updated_kwargs)
                threads.append(thread)
            for thread in threads:
                thread.start()
            for thread in threads:
                thread.join()
        return inner
    return wrapper","""""""Decorator to run the same function multiple times in parallel.

Parameters
----------
num_threads : int, optional
    The number of times the function is run in parallel.
kwargs_list : list of dicts, optional
    The list of kwargs to update original
    function kwargs on different threads.

Notes
-----
This decorator does not pass the return value of the decorated function.

Original from scikit-image:

https://github.com/scikit-image/scikit-image/pull/1519"""""""
doc/source/conf.py,"def linkcode_resolve(domain, info):
    if domain != 'py':
        return None
    modname = info['module']
    fullname = info['fullname']
    submod = sys.modules.get(modname)
    if submod is None:
        return None
    obj = submod
    for part in fullname.split('.'):
        try:
            with warnings.catch_warnings():
                warnings.simplefilter('ignore', FutureWarning)
                obj = getattr(obj, part)
        except AttributeError:
            return None
    try:
        fn = inspect.getsourcefile(inspect.unwrap(obj))
    except TypeError:
        try:
            fn = inspect.getsourcefile(inspect.unwrap(obj.fget))
        except (AttributeError, TypeError):
            fn = None
    if not fn:
        return None
    try:
        (source, lineno) = inspect.getsourcelines(obj)
    except TypeError:
        try:
            (source, lineno) = inspect.getsourcelines(obj.fget)
        except (AttributeError, TypeError):
            lineno = None
    except OSError:
        lineno = None
    if lineno:
        linespec = f'#L{lineno}-L{lineno + len(source) - 1}'
    else:
        linespec = ''
    fn = os.path.relpath(fn, start=os.path.dirname(pandas.__file__))
    if '+' in pandas.__version__:
        return f'https://github.com/pandas-dev/pandas/blob/main/pandas/{fn}{linespec}'
    else:
        return f'https://github.com/pandas-dev/pandas/blob/v{pandas.__version__}/pandas/{fn}{linespec}'","""""""Determine the URL corresponding to Python object"""""""
doc/source/conf.py,"def process_class_docstrings(app, what, name, obj, options, lines):
    if what == 'class':
        joined = '\n'.join(lines)
        templates = ['.. rubric:: Attributes\n\n.. autosummary::\n   :toctree:\n\n   None\n', '.. rubric:: Methods\n\n.. autosummary::\n   :toctree:\n\n   None\n']
        for template in templates:
            if template in joined:
                joined = joined.replace(template, '')
        lines[:] = joined.split('\n')","""""""For those classes for which we use ::

:template: autosummary/class_without_autosummary.rst

the documented attributes/methods have to be listed in the class
docstring. However, if one of those lists is empty, we use 'None',
which then generates warnings in sphinx / ugly html output.
This ""autodoc-process-docstring"" event connector removes that part
from the processed docstring."""""""
doc/source/conf.py,"def process_business_alias_docstrings(app, what, name, obj, options, lines):
    if name in _BUSINED_ALIASES:
        lines[:] = []","""""""Starting with sphinx 3.4, the ""autodoc-process-docstring"" event also
gets called for alias classes. This results in numpydoc adding the
methods/attributes to the docstring, which we don't want (+ this
causes warnings with sphinx)."""""""
doc/source/conf.py,"def rstjinja(app, docname, source):
    if app.builder.format != 'html':
        return
    src = source[0]
    rendered = app.builder.templates.render_string(src, app.config.html_context)
    source[0] = rendered","""""""Render our pages as a jinja template for fancy templating goodness."""""""
pandas/_config/config.py,"def register_option(key: str, defval: object, doc: str='', validator: Callable[[object], Any] | None=None, cb: Callable[[str], Any] | None=None) -> None:
    import keyword
    import tokenize
    key = key.lower()
    if key in _registered_options:
        raise OptionError(f""Option '{key}' has already been registered"")
    if key in _reserved_keys:
        raise OptionError(f""Option '{key}' is a reserved key"")
    if validator:
        validator(defval)
    path = key.split('.')
    for k in path:
        if not re.match('^' + tokenize.Name + '$', k):
            raise ValueError(f'{k} is not a valid identifier')
        if keyword.iskeyword(k):
            raise ValueError(f'{k} is a python keyword')
    cursor = _global_config
    msg = ""Path prefix to option '{option}' is already an option""
    for (i, p) in enumerate(path[:-1]):
        if not isinstance(cursor, dict):
            raise OptionError(msg.format(option='.'.join(path[:i])))
        if p not in cursor:
            cursor[p] = {}
        cursor = cursor[p]
    if not isinstance(cursor, dict):
        raise OptionError(msg.format(option='.'.join(path[:-1])))
    cursor[path[-1]] = defval
    _registered_options[key] = RegisteredOption(key=key, defval=defval, doc=doc, validator=validator, cb=cb)","""""""Register an option in the package-wide pandas config object

Parameters
----------
key : str
    Fully-qualified key, e.g. ""x.y.option - z"".
defval : object
    Default value of the option.
doc : str
    Description of the option.
validator : Callable, optional
    Function of a single argument, should raise `ValueError` if
    called with a value which is not a legal value for the option.
cb
    a function of a single argument ""key"", which is called
    immediately after an option value is set/reset. key is
    the full name of the option.

Raises
------
ValueError if `validator` is specified and `defval` is not a valid value."""""""
pandas/_config/config.py,"def deprecate_option(key: str, msg: str | None=None, rkey: str | None=None, removal_ver: str | None=None) -> None:
    key = key.lower()
    if key in _deprecated_options:
        raise OptionError(f""Option '{key}' has already been defined as deprecated."")
    _deprecated_options[key] = DeprecatedOption(key, msg, rkey, removal_ver)","""""""Mark option `key` as deprecated, if code attempts to access this option,
a warning will be produced, using `msg` if given, or a default message
if not.
if `rkey` is given, any access to the key will be re-routed to `rkey`.

Neither the existence of `key` nor that if `rkey` is checked. If they
do not exist, any subsequence access will fail as usual, after the
deprecation warning is given.

Parameters
----------
key : str
    Name of the option to be deprecated.
    must be a fully-qualified option name (e.g ""x.y.z.rkey"").
msg : str, optional
    Warning message to output when the key is referenced.
    if no message is given a default message will be emitted.
rkey : str, optional
    Name of an option to reroute access to.
    If specified, any referenced `key` will be
    re-routed to `rkey` including set/get/reset.
    rkey must be a fully-qualified option name (e.g ""x.y.z.rkey"").
    used by the default message if no `msg` is specified.
removal_ver : str, optional
    Specifies the version in which this option will
    be removed. used by the default message if no `msg` is specified.

Raises
------
OptionError
    If the specified key has already been deprecated."""""""
pandas/_config/config.py,"def _select_options(pat: str) -> list[str]:
    if pat in _registered_options:
        return [pat]
    keys = sorted(_registered_options.keys())
    if pat == 'all':
        return keys
    return [k for k in keys if re.search(pat, k, re.I)]","""""""returns a list of keys matching `pat`

if pat==""all"", returns all registered options"""""""
pandas/_config/config.py,"def _is_deprecated(key: str) -> bool:
    key = key.lower()
    return key in _deprecated_options","""""""Returns True if the given option has been deprecated"""""""
pandas/_config/config.py,"def _get_deprecated_option(key: str):
    try:
        d = _deprecated_options[key]
    except KeyError:
        return None
    else:
        return d","""""""Retrieves the metadata for a deprecated option, if `key` is deprecated.

Returns
-------
DeprecatedOption (namedtuple) if key is deprecated, None otherwise"""""""
pandas/_config/config.py,"def _get_registered_option(key: str):
    return _registered_options.get(key)","""""""Retrieves the option metadata if `key` is a registered option.

Returns
-------
RegisteredOption (namedtuple) if key is deprecated, None otherwise"""""""
pandas/_config/config.py,"def _translate_key(key: str) -> str:
    d = _get_deprecated_option(key)
    if d:
        return d.rkey or key
    else:
        return key","""""""if key id deprecated and a replacement key defined, will return the
replacement key, otherwise returns `key` as - is"""""""
